texto,sentimiento
"El tour estuvo increíble, superó mis expectativas","positivo"
"NO ME GUSTÓ, ME ENCANTÓ!","positivo"
"Me encantó la experiencia, volveré sin dudarlo","positivo"
"Los guías fueron muy profesionales y amables","positivo"
"Una de las mejores aventuras que he vivido","positivo"
"El recorrido fue hermoso, totalmente recomendado","positivo"
"Todo estuvo súper organizado y divertido","positivo"
"La atención del personal fue excelente","positivo"
"Me la pasé genial durante todo el tour","positivo"
"Perfecto para disfrutar con la familia, nos encantó","positivo"
"Las actividades fueron muy entretenidas","positivo"
"El barco estaba limpio y cómodo","positivo"
"La comida fue deliciosa, un gran plus","positivo"
"Una experiencia inolvidable, mis respetos","positivo"
"Los guías explicaron todo de forma muy clara","positivo"
"Sin duda el mejor tour que he tomado","positivo"
"El ambiente fue muy agradable en todo momento","positivo"
"Las vistas fueron espectaculares","positivo"
"El personal fue súper atento y amable","positivo"
"Muy buena música y ambiente durante el tour","positivo"
"La experiencia completa valió totalmente la pena","positivo"
"Nos divertimos muchísimo, excelente servicio","positivo"
"Lugar hermoso y actividades muy bien planeadas","positivo"
"Todo salió perfecto, gracias por tan buena atención","positivo"
"Me encantó cada momento, muy recomendable","positivo"
"Servicio de primera, muy profesionales","positivo"
"Fue una experiencia única, justo lo que buscaba","positivo"
"Perfecto para relajarse y disfrutar del paisaje","positivo"
"Los guías hicieron el recorrido muy divertido","positivo"
"Una excelente opción para pasar el día","positivo"
"El tour estuvo espectacular, no tengo quejas","positivo"
"Los tiempos estuvieron muy bien programados","positivo"
"Muy buen trato de inicio a fin","positivo"
"Quedé encantado, volveré pronto","positivo"
"Actividades para toda la familia, nos fascinó","positivo"
"El transporte fue cómodo y rápido","positivo"
"Gracias por tan bonita experiencia","positivo"
"El clima y la vibra hicieron todo perfecto","positivo"
"Un tour que recordaré siempre","positivo"
"Los guías estuvieron muy preparados","positivo"
"La mejor decisión para nuestras vacaciones","positivo"
"Disfruté cada parte del recorrido","positivo"
"Muy buena opción para grupos grandes","positivo"
"Increíble experiencia, superó lo que esperaba","positivo"
"La comida estuvo muy rica y fresca","positivo"
"Los paisajes estuvieron hermosos","positivo"
"Muy atentos a nuestras necesidades","positivo"
"Todo salió a tiempo y sin contratiempos","positivo"
"Nos sentimos muy seguros en todo momento","positivo"
"Excelente equilibrio entre aventura y descanso","positivo"
"El tour fue exactamente como lo describen","positivo"
"Ambiente relajado y agradable","positivo"
"Vale totalmente la pena el precio","positivo"
"Lo disfrutamos muchísimo, muy divertido","positivo"
"Perfecto para desconectar de la rutina","positivo"
"El staff superó mis expectativas","positivo"
"Gran experiencia de principio a fin","positivo"
"Un tour completo y muy bien organizado","positivo"
"Los guías fueron súper carismáticos","positivo"
"Me encantó que cuidaron cada detalle","positivo"
"Experiencia hermosa y muy recomendable","positivo"
"Todo salió perfecto, ¡gracias!","positivo"
"La atención fue impecable","positivo"
"Nos hicieron sentir como en casa","positivo"
"Actividades seguras y muy divertidas","positivo"
"Gran servicio y excelente ambiente","positivo"
"Perfecto para celebrar en pareja","positivo"
"Me dejaron con ganas de volver","positivo"
"Una experiencia totalmente satisfactoria","positivo"
"Excelente actividad para hacer en vacaciones","positivo"
"Sin duda un tour que repetiría","positivo"
"Buen trato y excelente organización","positivo"
"Nos encantó todo el recorrido","positivo"
"Muy recomendable para turistas","positivo"
"El guía sabía muchísimo del lugar","positivo"
"Me encantó la dinámica del tour","positivo"
"La pasamos increíble, muchas gracias","positivo"
"Los horarios fueron muy puntuales","positivo"
"El tour fue simplemente perfecto","positivo"
"Muy buena energía del equipo","positivo"
"Las actividades fueron un éxito","positivo"
"El mejor tour que tomamos en el viaje","positivo"
"Muy satisfecho con todo el servicio","positivo"
"Experiencia divertida y relajante","positivo"
"Un tour que vale la pena repetir","positivo"
"Una aventura inolvidable para todos","positivo"
"Los guías nos trataron súper bien","positivo"
"Todo estuvo genial, sin quejas","positivo"
"Recomiendo mucho este recorrido","positivo"
"Los paisajes fueron impresionantes","positivo"
"Gracias al equipo por su atención","positivo"
"Vacaciones perfectas gracias a este tour","positivo"
"Excelente opción para pasar el día","positivo"
"Todo el tour estuvo maravilloso","positivo"
"¡Increíble experiencia en todos los sentidos!","positivo"
"Un día perfecto, no pude pedir más","positivo"
"El servicio fue de lo mejor","positivo"
"Experiencia completa y satisfactoria","positivo"
"Me divertí muchísimo con mi familia","positivo"
"Un tour que recomendaré a todos","positivo"
"Muy buenos recuerdos de este recorrido","positivo"
"El personal fue muy atento y servicial","positivo"
"Nos encantó cada detalle del tour","positivo"  
"Una experiencia que superó mis expectativas","positivo"
"Los guías hicieron que todo fuera muy ameno","positivo"
"El tour fue una maravilla de principio a fin","positivo"
"Me sentí muy bien atendido durante todo el recorrido","positivo"
"Una experiencia fantástica que repetiré","positivo"
"El tour fue divertido y educativo al mismo tiempo","positivo"
"Quedé muy satisfecho con el servicio recibido","positivo"
"Una aventura que nunca olvidaré","positivo"
"El equipo fue muy profesional y amable","positivo"
"Me encantó la organización del tour","positivo"
"Una experiencia llena de emociones y diversión","positivo"
"Los guías hicieron un trabajo excelente","positivo"
"El tour fue una experiencia enriquecedora","positivo"
"Me sentí muy cómodo durante todo el recorrido","positivo"
"Una experiencia que superó todas mis expectativas","positivo"
"El tour fue simplemente espectacular","positivo"
"Me encantó la atención personalizada que recibí","positivo"
"Una experiencia inolvidable que recomendaré","positivo"
"Los guías fueron muy atentos y profesionales","positivo"
"El tour fue una experiencia maravillosa","positivo"
"Me sentí muy bien cuidado durante todo el recorrido","positivo"
"Una experiencia que superó mis expectativas","positivo"
"El tour fue una aventura increíble","positivo"
"Me encantó la dedicación del equipo","positivo"
"Una experiencia que recordaré por siempre","positivo"
"Los guías hicieron que todo fuera muy especial","positivo"
"El tour fue una experiencia única y emocionante","positivo"
"Me sentí muy valorado como cliente","positivo"
"Una experiencia que superó todas mis expectativas","positivo"
"fue muy divertido el viaje, me encanto","positivo"
"El tour estuvo bien, nada fuera de lo común","neutral"
"Fue una experiencia aceptable, aunque no sorprendente","neutral"
"Correcto para pasar el rato, pero podría ser mejor","neutral"
"El servicio estuvo bien, pero nada destacable","neutral"
"Todo estuvo normal, ni bueno ni malo","neutral"
"Buena actividad para un día tranquilo","neutral"
"El guía explicó lo necesario, sin mucho detalle","neutral"
"El recorrido estuvo bien, aunque un poco rápido","neutral"
"La comida fue regular, aceptable","neutral"
"El ambiente fue bastante normal","neutral"
"Todo salió como se esperaba, sin sorpresas","neutral"
"Las actividades fueron suficientes, nada especial","neutral"
"El tour estuvo correcto pero sin emoción","neutral"
"El barco estaba bien, algo lleno pero manejable","neutral"
"Hubo momentos buenos y otros un poco aburridos","neutral"
"Experiencia promedio, cumple con lo prometido","neutral"
"El clima no ayudó mucho, pero estuvo aceptable","neutral"
"Me pareció un tour estándar","neutral"
"Buena opción si no buscas algo espectacular","neutral"
"Pasé un día tranquilo, sin mucho más","neutral"
"Precio justo para lo que ofrece","neutral"
"El recorrido fue normal, aunque un poco largo","neutral"
"Todo estuvo bien pero no estoy seguro de repetir","neutral"
"Me pareció un tour sencillo y correcto","neutral"
"Las actividades fueron adecuadas","neutral"
"El personal fue amable, aunque algo distraído","neutral"
"Un recorrido simple, funciona para pasar el tiempo","neutral"
"Hubo partes interesantes y otras menos llamativas","neutral"
"Me pareció una experiencia decente","neutral"
"Cumple su función como actividad turística","neutral"
"La atención fue normal, sin inconvenientes","neutral"
"Buen tiempo para relajarse, sin emoción extra","neutral"
"Nada memorable, pero tampoco malo","neutral"
"Las vistas estuvieron bien, nada espectacular","neutral"
"Me pareció un servicio estándar","neutral"
"Un tour adecuado para quienes buscan algo tranquilo","neutral"
"El viaje estuvo aceptable, sin destacar","neutral"
"La organización fue regular","neutral"
"El guía hizo su trabajo de forma correcta","neutral"
"Todo se desarrolló de manera normal","neutral"
"Hubo partes un poco lentas","neutral"
"El recorrido fue estable, sin variaciones","neutral"
"Es un tour funcional, sin sorpresas","neutral"
"El lugar estaba bonito, pero faltó tiempo","neutral"
"El paseo fue adecuado para un día libre","neutral"
"Buena experiencia si no se buscan emociones fuertes","neutral"
"El ritmo del tour fue adecuado","neutral"
"Un recorrido promedio de principio a fin","neutral"
"Correcto y razonable para el precio","neutral"
"Las explicaciones fueron básicas pero suficientes","neutral"
"La embarcación estuvo en condiciones aceptables","neutral"
"Me pareció un día tranquilo","neutral"
"Recomendable solo si buscas algo relajado","neutral"
"El personal atendió bien, aunque sin entusiasmo","neutral"
"Las actividades fueron breves pero correctas","neutral"
"El recorrido cumplió con lo necesario","neutral"
"Estuvo bien organizado pero faltó emoción","neutral"
"Una experiencia neutra, literalmente","neutral"
"Nada malo pero tampoco sorprendente","neutral"
"El grupo era grande pero manejable","neutral"
"Los tiempos estuvieron bien, aunque algo apretados","neutral"
"Buen paseo, aunque no repetiría","neutral"
"Un tour adecuado para quienes no buscan mucho","neutral"
"Me pareció un buen plan sencillo","neutral"
"El transporte fue correcto, nada más","neutral"
"Las explicaciones fueron claras, aunque breves","neutral"
"Buena actividad para pasar el rato","neutral"
"Las fotos estuvieron bien, pero un poco caras","neutral"
"El equipo funcionó sin problemas","neutral"
"Hubo partes muy buenas y otras normales","neutral"
"Una experiencia estable, sin altibajos","neutral"
"Los guías cumplieron, sin destacar","neutral"
"Buen día, pero un poco lento","neutral"
"Todo correctamente estructurado","neutral"
"Es un tour cumplidor","neutral"
"Un recorrido decente por el precio","neutral"
"Nada sobresaliente, pero aceptable","neutral"
"El grupo fue tranquilo, experiencia normal","neutral"
"Me pareció adecuado para familias","neutral"
"La música estuvo bien, aunque repetitiva","neutral"
"Todo estuvo medianamente bien","neutral"
"Las actividades estuvieron bien distribuidas","neutral"
"Hubo momentos largos de espera","neutral"
"El guía fue amable, aunque algo serio","neutral"
"Un servicio estable, sin fallas importantes","neutral"
"Buena opción si solo quieres conocer el lugar","neutral"
"El recorrido fue normalito","neutral"
"Pasable, pero podría mejorar","neutral"
"Un tour bastante regular","neutral"
"Todo estuvo en orden","neutral"
"Una actividad sencilla para pasar el día","neutral"
"Experiencia aceptable sin inconvenientes","neutral"
"El servicio fue suficiente para lo básico","neutral"
"El paseo fue neutro en general","neutral"
"Todo estuvo bien pero sin emoción","neutral"
"Correcto, aunque un poco repetitivo","neutral"
"Buena duración del tour, aunque faltó emoción","neutral"
"Las actividades no fueron ni muy buenas ni muy malas","neutral"
"Un recorrido estable, cumple con lo necesario","neutral"
"Experiencia neutra, sin puntos altos","neutral"
"El servicio fue muy malo, no lo recomiendo","negativo"
"El tour estuvo desorganizado desde el inicio","negativo"
"Los guías no sabían responder casi nada","negativo"
"La comida estaba fría y sin sabor","negativo"
"Me aburrió, esperaba mucho más","negativo"
"Hubo mucho retraso y nadie explicaba nada","negativo"
"El barco estaba sucio y descuidado","negativo"
"Las actividades fueron muy pocas y aburridas","negativo"
"No cumplió con lo que prometieron","negativo"
"Me sentí inseguro durante parte del recorrido","negativo"
"El guía fue grosero y poco profesional","negativo"
"Horrible experiencia, no volvería","negativo"
"El sonido era muy fuerte e incómodo","negativo"
"El transporte llegó tarde y mal organizado","negativo"
"Una pérdida de dinero, muy mala experiencia","negativo"
"Había demasiada gente, no lo disfruté","negativo"
"El equipo estaba viejo y en mal estado","negativo"
"No me gustó nada del recorrido","negativo"
"Todo se sintió apresurado y sin atención","negativo"
"La información era muy pobre y confusa","negativo"
"El personal fue descortés","negativo"
"Las fotos estaban carísimas","negativo"
"La actividad fue demasiado corta","negativo"
"Me mareé y nadie me ofreció ayuda","negativo"
"Los baños del barco estaban asquerosos","negativo"
"El tour duró menos de lo que anunciaron","negativo"
"El guía parecía que no quería trabajar","negativo"
"Muy mala organización, caos total","negativo"
"El clima arruinó todo y no dieron alternativas","negativo"
"Las actividades parecían improvisadas","negativo"
"Hubo fallas en el equipo de seguridad","negativo"
"Las indicaciones no fueron claras","negativo"
"El staff no mostró interés en atender","negativo"
"Los tiempos no se respetaron","negativo"
"Nunca más tomaré este tour","negativo"
"Las sillas del barco estaban rotas","negativo"
"No vale lo que cuesta","negativo"
"El guía hablaba muy rápido y no se entendía","negativo"
"Me pareció una experiencia mediocre","negativo"
"El aire acondicionado no funcionaba","negativo"
"No había suficiente sombra en el recorrido","negativo"
"La comida no era fresca","negativo"
"Las actividades eran totalmente diferentes a las fotos","negativo"
"El personal jamás sonrió, mal ambiente","negativo"
"El barco se movía demasiado y fue incómodo","negativo"
"No volvería a contratar con esta empresa","negativo"
"Me dejaron esperando más de 30 minutos","negativo"
"Las medidas de seguridad no fueron adecuadas","negativo"
"Mal trato al cliente, muy decepcionante","negativo"
"Los chalecos estaban sucios y desgastados","negativo"
"Todo se sintió improvisado","negativo"
"Mala experiencia en general","negativo"
"El guía ignoraba nuestras preguntas","negativo"
"Las actividades fueron aburridas","negativo"
"Me quedé con una sensación muy negativa","negativo"
"El recorrido duró muy poco","negativo"
"Se notaba falta de preparación del staff","negativo"
"No había suficiente personal para atender","negativo"
"El barco olía mal todo el tiempo","negativo"
"Las explicaciones eran muy básicas","negativo"
"Hubo problemas con el pago y nadie ayudó","negativo"
"El guía se veía distraído todo el tiempo","negativo"
"Las actividades estaban mal organizadas","negativo"
"Se quedaron sin equipo para varias personas","negativo"
"Me pareció muy aburrido y lento","negativo"
"No cumplió ni cerca con mis expectativas","negativo"
"Mucho ruido y poca organización","negativo"
"Las fotos eran muy malas y carísimas","negativo"
"Todo fue un desastre desde el inicio","negativo"
"Me hubiera gustado cancelar, muy malo","negativo"
"Ambiente incómodo durante todo el tour","negativo"
"Las instalaciones estaban en mal estado","negativo"
"El guía no sabía nada del lugar","negativo"
"Las actividades duraron muy poco","negativo"
"Hubo discusiones entre el staff delante del grupo","negativo"
"Muy mala vibra en todo el recorrido","negativo"
"El paseo se sintió eterno y aburrido","negativo"
"La música era molesta y repetitiva","negativo"
"Nunca recibimos la atención prometida","negativo"
"No había organización en absoluto","negativo"
"Se sintió como una pérdida de tiempo","negativo"
"Las bebidas estaban calientes","negativo"
"Me sentí ignorado por el personal","negativo"
"El equipo de snorkel estaba en pésimas condiciones","negativo"
"Las indicaciones fueron confusas","negativo"
"Hubo problemas desde la salida","negativo"
"Todo salió mal ese día","negativo"
"El servicio fue pésimo","negativo"
"Demasiadas personas en el mismo espacio","negativo"
"El guía parecía molesto con todos","negativo"
"Las fotos no valían la pena","negativo"
"Una experiencia que no repetiría jamás","negativo"
"La embarcación se veía descuidada","negativo"
"Problemas técnicos retrasaron todo","negativo"
"No hubo suficiente información del tour","negativo"
"El lugar estaba sucio","negativo"
"Todo estuvo muy por debajo de mis expectativas","negativo"
"No lo recomiendo para nada","negativo"
"Me sentí incómodo todo el tiempo","negativo"
"Hubo mucha mala organización","negativo"
"El guía no tenía buena actitud","negativo"
"Las actividades fueron decepcionantes","negativo"
"El tour fue un completo desastre","negativo"
"El personal no estaba capacitado","negativo"
"habian muchas arañas, fue horrible","negativo"
"NO ME GUSTÓ, ME ENCANTÓ!","positivo"
"fue muy divertido el viaje, me encanto","positivo"
"habia un monton de insectos fue horrible","negativo"
"no me gustó el trato con el cliente del vendedor","negativo"
"es dificil nadar con los tuburones por donde nos llevó el guia","negativo"
"la mesera fue grosera","negativo"
"la mesera fue grosera, no me gusto","negativo"
"el viaje fue muy incomodo","negativo"
"no me trataron bien los meseros, fueron groseros","negativo"
"la vista no me gusto, el agua estaba sucia","negativo"
"fue aburrido y los guias no nos hacian caso","negativo"
"muy groseros los tripulantes","negativo"   
"aburrido, los guias nos ignoraban","negativo"
"aburrido, los guias fueron groseros","negativo"
"las vistas no eran bonitas, me aburrí","negativo"
"fue aburrido y los guias no nos hacian caso","negativo"
"muy groseros los tripulantes","negativo"
"las vistas no eran bonitas, me aburrí","negativo"